name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s) [31 Oct 2013 u32 n]
fannkuch-redux,Dart,2,10,538,0.488,5752,0,0% 0% 2% 98%,0.493
fannkuch-redux,Dart,2,11,538,5.860,5756,0,0% 0% 0% 100%,5.867
fannkuch-redux,Dart,2,12,538,81.448,5756,0,0% 0% 0% 100%,81.477
fannkuch-redux,Go,1,10,900,0.504,1008,0,2% 0% 4% 98%,0.506
fannkuch-redux,Go,1,11,900,6.240,1008,0,0% 0% 0% 100%,6.247
fannkuch-redux,Go,1,12,900,84.916,1012,0,0% 0% 0% 100%,84.946
fannkuch-redux,Ruby JRuby,1,10,384,12.124,314108,0,0% 0% 0% 100%,12.148
fannkuch-redux,Ruby JRuby,1,11,384,85.884,475780,0,0% 0% 0% 100%,85.936
fannkuch-redux,Ruby JRuby,1,12,384,1112.732,598692,0,0% 0% 0% 100%,1113.129
fannkuch-redux,Perl,1,10,457,15.304,1468,0,1% 2% 1% 100%,15.315
fannkuch-redux,Perl,1,11,457,183.892,1468,0,0% 0% 0% 100%,184.006
fannkuch-redux,Perl,1,12,457,2428.624,1464,0,0% 0% 0% 100%,2429.613
fasta,Racket,3,250000,1276,0.296,484,0,3% 0% 3% 100%,0.3
fasta,Racket,3,2500000,1276,1.580,17236,0,0% 1% 2% 100%,1.585
fasta,Racket,3,25000000,1276,13.804,17244,0,0% 1% 0% 100%,13.815
fasta,OCaml,3,250000,1042,0.128,0,0,0% 0% 0% 100%,0.133
fasta,OCaml,3,2500000,1042,1.244,1652,0,0% 1% 1% 100%,1.248
fasta,OCaml,3,25000000,1042,12.164,1656,0,0% 0% 0% 100%,12.172
fasta,Ada 2005 GNAT,5,250000,2186,0.048,0,0,0% 0% 0% 100%,0.052
fasta,Ada 2005 GNAT,5,2500000,2186,0.480,1232,0,0% 6% 0% 100%,0.482
fasta,Ada 2005 GNAT,5,25000000,2186,4.240,1236,0,0% 0% 0% 100%,4.247
fasta,C# Mono,2,250000,1180,0.192,0,0,0% 0% 0% 100%,0.197
fasta,C# Mono,2,2500000,1180,0.984,15356,0,1% 1% 2% 100%,0.99
fasta,C# Mono,2,25000000,1180,7.896,15360,0,0% 0% 1% 100%,7.904
fasta,Scala,3,250000,1053,0.312,248,0,3% 0% 6% 97%,0.317
fasta,Scala,3,2500000,1053,0.928,18580,0,0% 0% 1% 99%,0.932
fasta,Scala,3,25000000,1053,6.496,19812,0,0% 0% 1% 100%,6.502
fasta,Erlang HiPE,2,250000,1164,0.636,7652,0,0% 0% 2% 100%,0.644
